init;object;object.1;object.2;object.3;object.4;object.5;object.6;object.7;object.8;object.9;object.10;object.11;object.12;object.13;object.14;object.15;object.16;object.17;object.18;object.19;object.20;object.21;object.22;object.23;object.24;object.25;object.26;object.27;object.28;object.29;object.30;object.31;object.32;object.33;object.34;object.35;object.36;object.37;object.38;object.39;object.40;object.41;object.42;object.43;object.44;object.45;object.46;object.47;object.48;object.49;object.50;object.51;object.52;object.53;object.54;object.55;object.56;object.57;object.58;object.59;object.60;object.61;object.62;object.63;object.64;object.65;object.66;object.67;object.68;object.69;object.70;object.71;object.72;object.73;object.74;object.75;object.76;object.77;object.78;object.79;object.80;object.81;object.82;object.83;object.84;object.85;object.86;object.87;object.88;object.89;object.90;object.91;object.92;object.93;object.94;object.95;object.96;object.97;object.98;object.99;object
NA;35325.18;112467.1;84401.84;35157.78;37010.71;58638.73;102229.8;328523.7;40273.91;66830.05;35768.3;121515.1;92377.24;85263.84;47958.01;62004.76;105231.3;50430.01;156414.5;188367.3;152135.2;37967.62;1620.686;21887.11;43925.6;45840.63;29281.9;187991.9;15618.31;41601.16;176398.7;172126.1;13729.52;56950.9;45270.55;31485.95;151246.2;113728.6;54642.79;37640.92;130895.3;106958.4;78340.1;66990.73;46811.58;104037.8;36955.32;104146.6;127095.6;96332.45;113125.6;31162.91;15256.36;68711.97;78169.05;52876.68;154233.7;31952.27;50670.49;30081.64;80958.59;68684.81;32120.43;62435.53;35883.66;114557.3;152275;23517.72;270885.2;275738.6;104957.9;133547.9;98383.13;24444.87;441891.3;136495.7;118739.9;51693.32;122658.8;183521.5;179648.4;86639.61;227598;40016.33;151158.2;25995.97;238735.5;41075.02;69697.56;93265.18;153900.3;40794.55;89503.01;49018.07;81938.7;119595.9;138151;161099.9;137781.3;114990.2;49512.01
NA;134481.3;39264.81;5583.514;10941.19;42804.65;158572.7;46580.55;90589.77;175441.9;127870.4;47613.45;100654.5;29270.15;104226.7;106813.1;107271.6;124236.9;28981.9;72003.85;45110.18;67612.39;69041.27;49275.49;50345.47;50735.5;46792.36;58558.77;61546.83;41911.84;28502.15;54489.28;24319.13;74270.91;123739;185695.2;140058;95695.52;113861.2;44375.59;106429.3;112055;153211;96837.38;113159.1;127222.4;109320.4;101086.8;64164.56;28817.71;61991.64;17370.22;45491.66;34335.31;18491.93;184382.2;123506.3;33070.32;62087.77;89696.04;43599.66;47170.17;120633.6;58714.41;170268.9;179901.4;48856.78;132420;40339.06;72937.56;299325.9;64809.88;67694.94;61022.83;144425.2;27273.32;49893.34;95128.79;116130;191939.9;47250.89;86882.54;49517.5;41697.9;131634.6;30957.21;41939;81609.86;50066.23;26875.06;139341.4;23744.78;2375.561;171319;37829.83;44269.85;48871.73;38454.85;40996.43;194910.1;73538.47;79141.37
NA;24921.57;35164.34;28579.82;43150.58;16132.39;64666.59;54048.28;49739.22;73911.56;39178.6;60834.84;128198;125535;111202.4;144856.7;67737.36;171554.3;33550.37;30820.8;158556.2;64781.03;66093.48;48226.11;49472.34;54087.8;24258.71;64922.33;87027.5;19187.75;77075.57;70890.84;117961.5;27801.6;35011.9;136051.1;60207.07;193812.2;212745;18567.62;126834.5;104665.4;44521.47;37590.26;80590.99;152136;99132.98;98424.64;106970.7;139855.2;151506.3;51675.93;27899.56;36017.18;49218.42;10739.16;46363.27;47150.34;28553.58;127439.8;43269.14;130188.2;19882.35;27665.49;77013.62;79642.63;80321.06;137634.8;159994.1;119074.7;115804.5;54707.48;45056.92;60217.29;69045.38;215801.4;119380.6;167769.1;62024.6;76985.54;134423.1;22229.84;17352.52;77119.21;120882.4;46704;51616.11;30028.38;22132.02;20210.43;21704.46;108701.8;56010.93;27391.58;39136.48;66004.67;28467.21;167141.3;133577.7;48710.75;39783.32;127111
NA;89080.94;56206.86;76368.15;25614.8;45077.06;36863.77;14675.28;207305.4;56547.14;89917.6;36479.69;299473.3;29238.72;68989.69;121774.5;69581.59;74958.2;39842.83;35347.45;279969.2;24407.48;183716.3;22309.95;75494.25;62304.61;48625.3;76516.01;190487.5;91008.18;69548.48;149043.4;8485.978;76501.97;164920.7;192587.1;39457.84;404075.6;31172.52;107696.5;299178.9;139867;111197.9;176446.7;35488.3;154660.2;144253.7;123465.8;65110.18;48269.75;36598.11;53517.41;63005.93;55081.34;41492.66;185171.2;188597.2;49927.52;44132.97;46692.41;75634.94;44229.41;100909.3;93133.49;169901.7;60117.96;223429.8;137166.4;125303.7;203324.4;247511.2;97300.95;51933.81;110515.9;57474.9;81239.82;98854.19;130561.1;130805.8;92138.13;73858.16;99592.13;30172.43;154680.8;39311.66;15624.41;156561.8;57979.22;71769.92;74010.59;43859.07;46449.63;33121.89;87627.34;194368.7;114569.4;120640.4;26972.26;86666.01;128218.8;61709.8;57152.93
NA;31304.36;78444.17;44203.32;15589.16;44835.66;53421.43;18332.16;79857.33;62911.16;115023.4;60740.23;117074.7;156069.2;43061.77;47080.3;124376.1;163497.9;65550.1;318715.5;89375.29;67650.23;99773.25;116778;123154.6;65482.2;86494.04;38360.85;24059.12;163279.4;44539.48;96947.85;57088.54;36985.54;24847.56;30619.22;84308.61;69578.09;69842.38;164427.2;166177;88415.02;60374.16;78120.98;116475.3;84245.74;41248.36;49537.8;195806.3;26554.16;104295.9;40024.88;34862.52;20626.09;42403.95;34877.01;66577.66;155120.7;65604.73;75198.52;140305.8;88521.38;32792.14;60647;106357;74462.73;124063.7;98798.49;102614.2;48684.66;74630.12;72992.8;70511.04;29470.05;5769.83;161779.4;57797.18;40924.56;58087.87;73818.48;214708.9;34846.34;54125.49;55937.99;46167.79;41042.05;31565.45;19436.02;67037.73;58538.02;94783.94;171204.4;178299.7;137930.7;149103.7;173133.7;129260.9;40296.18;118119;25185.25;82992.34;121129
NA;25916.47;30755.95;76781.52;14924.16;34604.63;62893.92;43917.51;39246.65;102933;117223.9;46044.5;127309;102499.3;256273.4;100260.8;65337.08;95117.96;44357.43;74119.55;176014.3;51775.27;190451.2;122471.1;41337.93;59077.12;93524.13;71018.41;41973.63;47923.52;40811.03;92122.88;43541.52;39198.13;73278.61;62407.76;126994.2;238415.6;85799.74;138749;96104.63;42387.46;100219.7;109668.9;73270.06;35609.3;77372.05;233430.6;51554;57862.03;70781.43;59632.41;49714.04;27500.08;116380.7;147928;52804.04;31433.3;66244.09;41364.79;50039.83;72885.22;5198.218;134774.5;68347.12;45087.74;47098.45;115916.8;66034.43;27853.18;89014.41;119255.8;196327;52190.77;164212.8;99410.7;180004.6;19753.87;142591.6;159651.6;64930.57;79461.35;80974.16;47697.69;78457.91;41963.71;71358.69;16851.56;44518.73;77563.41;139922.2;20592.21;88653.53;75780.52;26039.92;62784.21;33781.7;45841.4;48644.83;50216.53;116336;165246.9
NA;62698.6;189399.9;19846.95;43751.95;22431.72;36396.22;44885.56;109404.3;120602.6;28357.65;10403.3;131680.8;40522.02;110846.4;113626.7;53390.15;44588;115156.4;161648.3;192964;76384.94;31997.44;25408.49;50472.89;116248.2;38712.58;62948.09;82697.84;44810.63;72558.06;41439.25;54333.94;84144.88;126564.5;226977.2;120859.9;36321.61;100304.1;46756.8;109922.8;124308.6;135974.3;35089.12;47049.63;118218.2;89799.5;116181.8;55697.96;16278.27;13986.48;32757.35;32202.83;116733.6;48650.63;25225.69;153098.7;73501.85;18589.13;152222.2;184582.2;29465.93;21652.88;50033.11;134202.9;78393.36;28235.12;78284.41;94153.73;76825.01;122156;123061.9;203545.5;120903.8;68496.66;118847.5;130675.1;49387.5;59630.43;133231;131173.8;124506.8;238450.9;73317.67;135615.1;34900.97;55974.77;23809.78;58129.83;76556.14;44264.81;98861.36;39681.23;53121.28;80706.66;58447.68;74590.6;209642.6;238503.8;83260.3;167142.4;120264.9
NA;60014.96;48339.64;46892.76;40527.97;41450.39;47514.42;33149.66;44745.78;46427.35;82855.93;121365.4;97525.26;96953.49;132310.6;117076.6;48424.48;77548.15;174641;43515.58;172336.5;37257.76;71630.3;130148.3;141671.4;77325.05;45576.8;38135.17;71909.55;68343.61;54725.18;22105.02;85889.31;43752.71;47645.8;243666.5;198537.1;142318.7;51907.56;30879.85;27322.61;205135;120874.2;112941.5;104340.4;66186.87;102726.5;76138.5;97929.63;23417.77;78139.9;11143.99;216617.2;52163.15;18699.76;59744.56;25053.26;110780.5;84917.3;174671.8;45384.69;19774.62;35907.77;29140.14;138361.6;36909.55;121382.6;70802.48;114168.5;121384.8;166480.3;224002.2;90413.68;94599.45;70330.37;154391.3;83514.21;207591.5;50552.69;38103.89;52661.68;145955.5;155140.4;72970.37;29223.92;61057.62;109971.5;13414.87;30826.6;64364.76;40711.7;56950.59;25842.01;32173.38;10302.59;42762.23;27535.48;29309.67;130530.3;42618.03;112476.7;65309.46
NA;35367.6;12166.66;157881.4;14645.22;27929.32;44927.52;28860.13;113789.2;85779.3;63651.85;137111;36845.61;275092.9;91919.47;198508.7;97717.07;133165.7;66031.53;151612.5;19317;49900.36;62549.52;39437.7;58593.25;85296.8;78471.33;61953.49;44648.43;109397.1;48795.89;46994.54;41754.97;22842.5;77177.34;109679.4;123342.5;198030.2;49175.09;148979.6;90357.53;81466.88;113471.3;79400.47;115385.8;166355.6;151390.6;55575.58;136516;47685.94;22227.85;36303.29;41234.78;76807.92;176514.2;58408.92;84021.88;18404.95;66517.38;160545.1;69428.55;91328.48;61119.88;41548.82;61031.98;41236.92;124814.5;107164.5;212351.3;97489.09;125414.4;67315.75;45551.78;163957.5;72777.03;37819.91;70705.29;126333.2;89430.84;181511.9;55088.96;NA;26789.91;124465.9;202704.1;45771.05;39726.86;1289.865;17872.4;6890.927;28585.47;38386.79;178613.7;93199.41;26485.03;22679.22;263018.6;52132.18;34311.2;285674.3;67573.32;35025.48
NA;28388.47;33961.46;13423.26;59472.18;28890.04;104802.7;42435.84;70666.07;142187.6;35022.74;67694.02;107622.9;204981.4;142526.8;53960.39;25927.15;22333.75;165253.6;115385.9;104997.3;27554.71;52340.16;41345.56;55687.74;36665.7;98937.66;32271.19;25726.65;60701.63;76928.93;59375.44;170043.3;38881.8;49730.22;65805.08;77495.05;109864;73743.25;50022.28;38888.67;166486.6;88211.62;133152.9;156109.4;28108.46;117673.6;135507.1;156333.7;186819.1;40426.5;33395.34;30156.71;32336.8;52826.63;21004.06;34466.69;16127.2;55601.37;48776.67;53071.69;68140.97;32044.13;58021.95;146138.8;103678.7;123349.4;19465.16;57504.96;91594.29;212216.4;68696.1;142391.7;98111.52;91591.7;101924.7;94716.03;154206.5;70815.61;28248.09;191252.6;NA;191682.2;16322.06;116128.6;27449.11;30092.78;77470.33;44187.75;46459.39;38665.43;69382.92;65633.72;37736.45;45684.84;18782.92;162593.8;177942.6;30124.67;187167.7;126696.5;45234.54
