init;object;object.1;object.2;object.3;object.4;object.5;object.6;object.7;object.8;object.9;object.10;object.11;object.12;object.13;object.14;object.15;object.16;object.17;object.18;object.19;object.20;object.21;object.22;object.23;object.24;object.25;object.26;object.27;object.28;object.29;object.30;object.31;object.32;object.33;object.34;object.35;object.36;object.37;object.38;object.39;object.40;object.41;object.42;object.43;object.44;object.45;object.46;object.47;object.48;object.49;object.50;object.51;object.52;object.53;object.54;object.55;object.56;object.57;object.58;object.59;object.60;object.61;object.62;object.63;object.64;object.65;object.66;object.67;object.68;object.69;object.70;object.71;object.72;object.73;object.74;object.75;object.76;object.77;object.78;object.79;object.80;object.81;object.82;object.83;object.84;object.85;object.86;object.87;object.88;object.89;object.90;object.91;object.92;object.93;object.94;object.95;object.96;object.97;object.98;object.99;object
NA;1,01E+04;133,7;1924;61,88;1027;276,5;668,4;1053;211,6;128,9;219,7;1,489E+04;1431;30,9;137;223,9;37,93;1156;2295;698,1;206,6;1074;220,7;477,2;40,75;289,7;239;23,86;220,1;3871;1108;34,59;37,89;76,17;936,5;3839;46,18;8930;34,64;874,7;30,07;3570;55,6;153,5;197,3;180,2;148,4;7476;340,8;1410;95,7;1823;41,58;233,4;304,2;3342;3675;27,18;2998;85,88;251,2;319,3;1,592E+04;1063;101,7;563,5;6435;788;1041;1832;20,61;607,8;1089;531,1;3950;393,9;46,7;42,49;86,62;1083;619,1;2781;24,41;1021;63,81;678,2;191,5;853,8;2463;9878;316,4;143,2;649,6;797,8;240,3;7412;193,2;906,8;216,7;448,3;3287
NA;1189;128,5;1830;325,8;455,2;3570;262,2;1037;1635;347;83,18;260,7;1,739E+04;64,82;514,6;594,6;3737;261,2;2,052E+04;3309;36,39;783,4;156,5;167,8;1203;199,7;61,98;4968;617,3;27,27;431,2;3226;172,7;512,6;5056;726,1;80,91;147,1;240,4;1319;395,9;4988;48,92;600,9;85,95;349,7;1465;696,2;111;234,1;83;214,3;8280;36,6;368,1;1850;586,3;1451;50,22;114,9;1272;130,9;205,9;1139;382,5;85,22;220,4;5354;83,61;3379;1475;383,9;3314;41,14;1248;140,9;1722;1705;1043;140,4;641,5;429,1;549,5;879,2;749,2;167,4;153,5;2903;399,7;142,4;3365;5559;1188;3138;220;851;184,2;3472;645,6;387,4;27,11
NA;47,53;1363;687,9;1881;200,7;2871;2897;1195;318,7;454,4;225,3;6637;5829;199,3;191,5;3281;689,8;88,52;326,7;48,88;7071;9754;1033;1347;80,07;283;512,3;4150;53,75;362,9;161,1;116,5;62,35;47,08;7867;674,6;30,76;3757;811,1;1174;1,992E+04;829,2;44,69;25,03;306,6;3141;7541;73,53;1325;87,97;1048;335;43,26;1094;641,8;337,3;1719;4186;565,8;2352;1082;170,3;92,88;68,02;1066;65,41;37,82;468,8;365;1090;2229;2792;1029;21,23;125,7;35,07;525,7;4749;412,4;627,7;1085;104,5;1471;3655;263,1;2372;30,17;22,85;623,7;1948;851,4;1164;1651;2427;2757;696,9;391,7;221,1;762,5;545;56,6
NA;292,9;1369;411,6;80,51;321;740,2;112,7;50,16;702,7;2289;30,8;1702;1784;501,1;263;511,2;3828;598,9;29,49;1978;695,5;121;611,5;3099;207,3;2693;425,6;30,51;3913;3197;165,1;252,7;1307;168,5;617,4;2702;31,47;1824;68,78;3135;1157;42,82;20;221;334;1975;2339;186,5;479,3;398,7;376,2;24,54;636,9;838,5;926,4;53,46;6043;243,9;227,4;1106;2244;357,9;650,5;66,37;502,4;729,3;330,1;252,6;420,2;340,4;37,71;33,07;85,41;613,8;223,6;134,7;1863;23,77;2132;1523;2701;207,2;53,89;646,5;566,5;320,9;534,8;825,3;849,8;220,3;209,9;318,9;520,1;134,6;267,9;302,3;309,6;788,8;327,1;1945;1445
NA;801,2;168,6;546,9;38,55;544,9;849;1153;103,3;2066;1720;1929;3625;32,24;1430;830,1;2434;808,8;4456;1585;1337;1007;1502;1628;190,7;500,3;2678;611,7;2206;1176;145,1;992,1;344,2;347;27,93;53,86;122,9;1611;1920;2083;845,5;365,6;5647;1402;249;2130;438,9;111,9;2630;4497;4167;52,71;2144;1596;719,9;729,6;1503;1923;7927;41,79;673,8;4243;230,3;140;1015;1406;93,47;228,7;27,05;219,7;26,6;35,39;685,4;3088;86,55;721,5;116,8;50,77;344,8;326;51,16;317;168,4;4532;7513;2377;7977;782,9;218,7;715,4;48,83;89,55;1376;446,1;911,6;238;1716;669,6;317,4;78,78;1565;2829
NA;27,21;656,9;350,3;1880;1704;1291;28,1;1866;65,59;353,6;3428;1029;747,7;565,4;3151;2094;81,59;389,7;1017;346,9;186,2;9911;417;253,8;322,5;496,3;352,8;977,1;50,49;359,1;313,8;108,4;38,79;197,9;1,193E+04;1382;1,317E+04;257,6;1,17E+04;74,12;82,44;25,94;118,1;2928;186,5;4767;261,9;1621;42,12;601,7;91,24;56,2;124,8;292,2;241,3;855,2;211,7;495,4;198,8;1,536E+04;396,2;1347;42,02;146,1;62,7;20,23;1463;1002;2776;489,1;179,4;255,7;7250;47,82;479,1;58,17;116,4;35,32;1141;2304;271,2;406,5;1227;219;188,5;251,4;1470;1617;313,8;239,2;633;2149;3435;317,1;233,9;9312;307,4;326,2;110,1;829,9;1,173E+04
NA;127,2;2633;3008;8616;1526;721,3;2247;161,9;52,14;1042;3149;312,2;2938;796,9;646,1;615,5;47,39;679,6;102,3;357,4;234,7;4377;45,46;1119;826;1305;3627;725,3;1930;364,5;39,63;1990;2620;2808;170,4;329,9;6065;72,55;7980;25,67;83,06;2828;2466;2297;695,5;1093;28,62;52,36;349;175,6;817,9;367,6;35,58;318,1;1472;337,7;2883;2092;37,64;1049;1358;368,5;120,7;6046;1172;473,4;1,634E+04;708,7;2595;3268;90,48;2515;62,57;34,17;876,6;334,9;353,9;123,1;248,2;4228;125,4;4850;455;410,7;7130;345,9;1240;546,5;1922;475,6;2135;151,7;36,62;184,5;2776;3350;149,5;553,7;66,86;34,98;371
NA;5858;49,92;1652;77,05;35,93;3987;4572;254,8;4053;398,7;1971;478,2;6385;477,3;353,7;176,8;101,2;3268;1652;33,06;39,7;962,3;457,1;221,8;28,11;405,2;451;1077;740,9;286,4;1359;304,8;1096;66,61;32,51;30,99;2088;139,9;1697;7907;355,4;3175;4916;915,3;111,7;689,5;1252;4778;326,5;1222;436,4;204,7;2613;428,7;314,6;509,8;1422;8135;3242;302,6;48,21;1270;56,46;1,768E+04;239,1;1,575E+04;365,5;337,6;3000;1063;1962;70,89;932,9;405;468,3;3005;416,5;570,4;987,2;191,6;2948;316,9;918,9;2958;1,576E+04;313,2;692,1;187,9;4337;34,81;1019;41,11;98,53;1264;750,5;416,1;627,9;1060;5598;58,92;968,6
NA;342,8;243,5;719;446,1;77,23;62,58;4636;261,3;687,9;425,8;9392;627,1;33,04;51,65;22,48;693,9;44,91;222,1;1204;30,82;65,68;336,7;2610;115,8;2506;1790;581,3;3162;133,2;347,3;132,9;359,5;39,98;21,47;199,1;60,49;28,82;33,82;56,4;9583;2334;196,4;909,6;412,7;2972;2974;310,4;75;497,7;511,6;560,8;1864;41,71;366;696,5;551,7;1657;653,9;1208;749,5;80,63;42,08;590,1;149,9;704,5;8282;1396;1672;157,4;483,2;2724;196,3;360;251,4;244,6;342,9;49,19;535,1;30,52;1225;405,2;266,9;714,5;1443;350,4;369,1;365,4;2080;3113;1718;225,4;199,8;53,53;532;1994;448,1;28,75;2492;347,2;316,1;301,1
NA;1290;147,2;845,1;193,5;1405;84,77;5258;4560;72,56;185,7;1776;128,8;1192;39,92;329,7;272,1;176,8;120,3;62,41;175,1;530,7;532,2;2150;233;932,2;793,3;84,37;5619;29,89;28,86;275,5;630,4;298,8;3195;355;784,9;372,4;363,2;269;31,8;215;2147;1612;9797;165,3;197,2;149,6;100,6;6238;476,9;30,95;65,73;1169;872;335;174,8;207,1;371,5;7282;5756;474,3;6518;663,9;3874;2290;3097;44,79;346,8;36,96;35,24;833,5;9387;30,31;163,8;24,95;44,65;97,46;32,12;1,246E+04;2031;7726;143;3441;610,3;4574;699,2;4781;5883;1060;5103;1651;349;548,9;507,6;1454;1357;48,54;126,6;3052;219,2;1231
