init;object;object.1;object.2;object.3;object.4;object.5;object.6;object.7;object.8;object.9;object.10;object.11;object.12;object.13;object.14;object.15;object.16;object.17;object.18;object.19;object.20;object.21;object.22;object.23;object.24;object.25;object.26;object.27;object.28;object.29;object.30;object.31;object.32;object.33;object.34;object.35;object.36;object.37;object.38;object.39;object.40;object.41;object.42;object.43;object.44;object.45;object.46;object.47;object.48;object.49;object.50;object.51;object.52;object.53;object.54;object.55;object.56;object.57;object.58;object.59;object.60;object.61;object.62;object.63;object.64;object.65;object.66;object.67;object.68;object.69;object.70;object.71;object.72;object.73;object.74;object.75;object.76;object.77;object.78;object.79;object.80;object.81;object.82;object.83;object.84;object.85;object.86;object.87;object.88;object.89;object.90;object.91;object.92;object.93;object.94;object.95;object.96;object.97;object.98;object.99;object
NA;54600;30540;83150;37510;46860;50940;61920;43620;39620;76780;106300;44190;68670;48630;25050;90730;111800;102200;38670;141300;46390;45320;49710;81840;30540;41580;44660;35320;169600;43240;46750;39280;47530;41050;63710;87330;54030;50620;77910;51470;42530;62200;43860;38530;91750;111500;33650;33750;53840;36940;84120;33550;63530;138700;76240;36230;124700;43520;45610;161900;51910;37980;48940;50450;99490;121100;44690;69000;23570;62700;41350;56870;89620;39500;64780;35690;64500;51870;30920;24050;52840;37390;43620;37060;33570;37610;40530;68750;45170;33850;40710;51350;38970;55100;32290;87480;81190;82520;51590;89110;76230
NA;36070;106200;148800;50840;85220;40590;43290;46910;89190;110800;128100;117300;110300;64180;146000;43510;74940;136900;27780;62790;128200;47570;50590;45060;38990;39920;39110;42940;35450;68060;43240;34580;43640;123100;44250;125900;58290;37900;48750;82690;62670;57720;71880;85950;49510;62380;82590;17990;36510;141000;42690;37770;31150;37540;119900;29510;42800;30820;41650;39840;52560;73620;31570;53760;51210;119400;120400;66700;101800;97850;85380;100600;55110;50520;95430;75040;82040;32500;111800;38270;97780;38420;40960;284100;39940;43080;99360;29740;46860;75860;42730;39360;47960;54240;241400;60860;152700;32520;81460;72330;65600
NA;56820;30970;62770;79650;33320;63820;239000;36370;34330;31860;77840;92930;100500;51340;73740;65480;47800;53010;41330;56620;55690;36660;113300;47280;81620;41700;40740;42940;46860;40390;60720;46760;247700;43170;67840;34740;43930;132000;35130;35180;92500;59070;71480;89510;29010;35000;42230;41780;102200;40060;57000;41350;32880;45500;45920;45390;82510;48600;40320;96470;48520;21830;32690;100500;43300;74990;36880;56920;61390;87350;64310;31850;82810;117300;55640;69090;39570;118800;39570;49760;47550;40880;60230;36330;47170;73620;122500;50000;44080;50660;40380;156900;91610;50090;105500;74540;174200;52230;42980;49410;66560
NA;35540;41790;46490;84530;51200;48160;58580;68340;58300;44410;39100;77880;111100;61380;52940;95550;45530;82630;38550;30980;56170;45420;59190;45270;36360;39420;55740;39360;135900;45340;57580;37000;54730;73000;70800;103300;82140;124900;91840;179100;37470;115600;25070;38200;84430;20650;73260;24780;53870;43470;148500;73290;40890;34790;35140;44420;35430;37300;39790;43480;45450;41710;44600;32680;35180;38250;79950;51980;92900;96310;89970;53160;32830;107000;93380;100900;54780;93730;53960;44890;65720;32800;48010;64940;49820;112000;55330;40890;41790;37990;39370;94000;88870;33370;53330;82400;95040;66780;74820;103900;109500
NA;38050;48970;79350;173400;43040;27820;152700;149500;88180;89310;62940;73480;82730;123300;98000;33110;42950;44440;44740;18080;75570;42110;42190;58400;31830;35170;44970;55670;67120;29100;59720;44500;59220;68900;113800;71630;122400;53260;102600;110300;112500;83500;69130;99700;63890;129200;28950;72620;29880;38800;37640;34840;39500;148400;34930;37450;46490;34320;38850;50370;58570;42340;39720;27210;114400;66700;60390;77990;33840;54190;145400;53800;70340;116100;63190;213700;59960;82420;72550;43240;82950;48580;48380;51430;48370;96050;66420;45070;98310;59910;46460;152300;101100;43590;54590;33580;42160;67350;135900;81430;65590
NA;53820;39210;73240;88260;42090;88580;57400;59580;100500;61660;39460;43140;42710;58790;72330;66070;144700;91770;54240;178100;46340;58610;38810;33300;34510;53300;80440;86250;213400;27100;38300;47310;121000;24290;169000;54700;110800;65040;80130;56290;22790;126800;75710;110900;99000;69900;73620;42990;53650;41740;45540;36160;52590;132200;52100;37830;39400;33870;41990;40290;100300;40080;29620;62360;44050;122900;66520;70820;60930;73260;101600;39270;45440;30260;81500;60630;103800;93030;51540;48810;60280;66990;43810;33780;52190;46220;39380;50930;32310;44500;41360;50460;39940;38650;80310;78110;31320;108100;51930;70420;25940
NA;32220;35310;107600;50060;43560;32280;40240;45810;39510;73600;42920;81490;58940;36140;85270;82170;53580;265200;69800;40940;65000;45730;41040;36140;31560;31960;40320;33140;47970;38030;60200;21800;212700;74830;148500;70410;48610;117800;62890;89100;81330;74190;86000;53370;132700;74620;46470;182100;73000;265900;39090;45980;46640;55160;45900;39940;29630;139800;42930;68130;44400;43400;37990;35480;66670;53890;84570;47480;95640;45940;149000;67740;87560;72170;137500;57870;122900;51690;55820;106300;46990;79530;70050;49960;170400;40990;34660;37360;43170;41060;45750;62180;95230;37580;184500;52740;95280;109000;80770;54660;96320
NA;78280;40590;64080;62890;27470;60240;42660;118200;125500;58510;39370;65560;207500;85730;69590;102000;68100;44650;183800;85250;108400;35340;40700;34080;67120;56430;75220;34630;46880;120400;59400;99540;42730;48040;24780;60280;95960;64220;18300;50870;82040;35760;94030;52010;89050;122400;206000;47380;44330;32890;42780;42070;36040;29900;30510;55750;59780;38550;44780;32540;56600;35950;78120;41100;52000;99860;189300;39560;76420;56700;87910;60030;96130;59360;81300;87770;55090;64170;44190;124400;47360;47200;64040;42020;40480;53480;51590;75350;38200;173000;37530;35870;31200;37690;52990;35100;72140;54520;64470;54330;45730
NA;37820;122800;41670;55440;88100;35700;56860;40930;70070;87120;105600;50520;52500;147600;38450;70280;30800;61230;34120;53440;43060;34400;43270;70140;170000;46900;44800;81180;70120;65230;41040;26990;48480;77470;126800;77240;87280;59350;165600;84500;88220;44550;40020;32280;99110;39020;110600;93790;62010;44150;36250;48100;31540;59670;103700;52410;60030;33810;33590;68650;135800;35940;27350;95090;43090;126300;131700;60340;65430;116000;68360;76610;63120;159600;68680;52860;80610;41290;25290;38720;38080;42630;37930;35040;57220;190500;38930;49030;34310;40640;39480;36700;31890;66360;45520;35000;67020;123200;46510;35980;58210
NA;38200;36160;35290;27570;42940;33260;112700;44930;47880;73020;122800;67870;123200;61920;38840;97290;77900;28940;35620;21810;93830;47050;45280;71900;49440;24700;39120;80230;38820;41310;65190;50050;160400;93440;43490;56620;40710;66750;57330;58320;143200;94840;71690;56120;68910;122900;59900;49970;45860;61160;29730;52250;56730;40370;24680;44130;73470;40920;33890;40470;40020;90420;27270;43340;73030;77640;129200;52690;64530;45600;83620;21000;160400;94780;110400;67820;114800;72560;265100;50670;164400;32270;42220;42850;45910;46360;47960;36610;41480;49640;46980;47880;40660;73200;45640;88050;143500;48320;60350;43670;86230
