init;object;object.1;object.2;object.3;object.4;object.5;object.6;object.7;object.8;object.9;object.10;object.11;object.12;object.13;object.14;object.15;object.16;object.17;object.18;object.19;object.20;object.21;object.22;object.23;object.24;object.25;object.26;object.27;object.28;object.29;object.30;object.31;object.32;object.33;object.34;object.35;object.36;object.37;object.38;object.39;object.40;object.41;object.42;object.43;object.44;object.45;object.46;object.47;object.48;object.49;object.50;object.51;object.52;object.53;object.54;object.55;object.56;object.57;object.58;object.59;object.60;object.61;object.62;object.63;object.64;object.65;object.66;object.67;object.68;object.69;object.70;object.71;object.72;object.73;object.74;object.75;object.76;object.77;object.78;object.79;object.80;object.81;object.82;object.83;object.84;object.85;object.86;object.87;object.88;object.89;object.90;object.91;object.92;object.93;object.94;object.95;object.96;object.97;object.98;object.99;object
NA;35990;49710;26500;48760;21350;31720;17070;35970;8356;33220;36440;16360;21690;23990;18840;31560;43420;27820;31470;30840;69370;10860;52580;58630;54690;74330;44660;65590;58430;65460;10010;31590;26290;9954;26620;11520;34070;81270;36720;33170;32400;19640;22800;18750;16320;28310;18600;26470;21320;30110;20280;19340;33230;40830;24980;11240;47860;13720;21190;26130;30630;17030;31500;29350;18420;23670;19460;15210;3,625E+04;25310;40920;29630;17810;18250;30120;48080;17460;34790;27750;26910;13770;24070;41090;62520;23860;20330;22310;4,241E+04;28300;32060;35350;23070;46620;26350;34950;24880;35020;21070;18900;34590;23710
NA;22620;18140;28350;34590;30740;15040;42240;36090;20220;14490;32920;16530;25770;33430;23590;33860;42290;17580;18450;48460;74120;28860;56390;42710;61200;37010;52370;58340;52840;69460;11530;15600;23830;44750;52000;26120;53500;50410;21900;19210;19570;24710;27410;25890;17810;17880;12780;49970;29160;14760;18210;63390;19090;57920;24910;22220;28460;15290;18220;19270;37920;29230;19700;37340;22340;22140;19870;30970;2,784E+04;25630;30850;39400;34490;35080;14850;38850;29400;29820;38760;20750;12430;32840;25170;22810;17390;63210;27450;2,342E+04;21920;24620;21570;49350;19380;27250;24910;39390;47930;16950;22840;51510;31370
NA;33830;26100;34010;34680;45920;17110;13430;8005;18960;40990;18610;9405;18070;21110;18630;24240;40810;22010;12520;56620;47820;60930;47980;14480;69280;54160;49440;65100;55620;11720;9132;31450;58040;17920;26350;24290;31330;22520;22080;23650;18670;17000;15380;21010;14630;55370;14810;19540;27170;16470;33560;29000;15850;65440;56520;18820;37140;25770;27220;28380;38190;9648;40280;29280;22970;39210;20300;38200;1,982E+04;20900;25070;31700;34600;29960;25970;43710;46850;28780;28590;32420;23070;13290;23840;21960;20710;28910;20240;6,52E+04;44610;20410;34940;18200;20220;26650;12990;15820;11610;37920;19520;14620;34060
NA;30180;20750;26860;44870;52350;44270;38340;24140;12760;24050;27510;12150;34270;16840;40130;18460;10670;12620;38330;14470;62570;56210;52090;8714;54450;48730;29310;16820;67530;11080;71960;8051;18850;26000;23180;18100;25150;23810;28300;34070;20520;18930;19680;27290;30960;26910;27260;50800;33430;19450;10130;20890;17740;36510;31780;33690;40400;29320;48290;28680;33220;44010;16050;34460;31790;43990;18800;18250;3,735E+04;46440;14920;49830;40780;19350;20210;36790;19700;15470;24080;37870;20380;31770;54590;29680;37050;58020;17320;3,138E+04;47150;16910;15450;35030;30370;30880;20630;13820;34070;19320;14730;20190;16410
NA;16680;28270;46640;11240;29460;17920;20170;10260;31240;28960;40160;32450;12440;15870;21950;17960;43160;27030;8980;41240;34820;55470;68380;28970;40100;33600;25260;42170;56430;46880;46690;26750;36910;34200;15720;31350;25070;29270;28480;33850;15020;19510;31010;23190;17460;16400;29070;15980;19700;47330;14740;38520;17330;25900;19780;35880;19760;50480;10790;20140;41720;35140;29050;26260;29740;19040;35400;29450;2,501E+04;39280;15900;22640;23950;14550;31710;26780;17600;27120;29650;18830;24080;26220;31610;22310;16760;21690;20200;5,857E+04;25080;41250;39310;29240;27840;18090;13960;13000;22310;18470;16140;17830;16520
NA;27930;18220;53000;32580;37500;43360;36470;26660;21710;16200;52820;14650;24340;25630;12790;9756;31450;15900;27260;27610;38430;37110;32090;53360;54840;42620;8610;52650;59680;27600;16320;23990;30420;19300;24450;30620;24010;16740;8832;31110;21460;25400;30410;17790;12500;25140;28440;17670;21920;20460;22300;37870;55100;20250;33300;54950;53000;18790;22940;30300;24290;22920;31990;28000;25960;39380;36170;29600;3,316E+04;28270;29820;20440;17700;35920;47370;19340;24680;22830;32610;35790;24130;36100;31810;27710;58610;38930;29050;5,427E+04;62140;16740;57660;17190;51410;21600;22050;30110;18480;27490;14550;18450;43360
NA;30320;30280;26860;43620;14770;33600;23850;11480;21850;27430;18110;30620;19580;11140;12230;11240;16780;26370;33920;70760;47750;22950;31750;9170;54070;65170;58680;47420;50470;33980;25280;70590;59900;18570;22950;34030;17400;26460;26150;27220;68050;30290;14390;19430;28550;25040;25700;26030;21270;19560;13380;43320;27180;24970;28000;22860;24090;20690;42230;34740;31280;33480;11640;19040;9500;30600;31310;16640;4,057E+04;40580;17730;25890;26320;16550;32650;19360;27240;24810;27240;35850;38910;12780;41270;10810;19440;33970;18000;5,672E+04;15870;24990;10890;26770;31670;20330;19610;25980;27550;47770;14070;18140;30870
NA;25930;36610;34340;21480;20000;18220;27640;20260;22510;17440;19290;18200;19680;33970;17240;24190;9606;33860;16150;56260;30380;34310;48710;62550;43940;63100;49820;68400;31790;69250;37490;26230;19800;30950;60990;38460;23530;20320;16820;19210;24920;16860;27070;18830;32120;10280;46580;50350;22200;26290;13180;26920;17440;25360;54260;29990;21390;18760;47360;20180;29890;42600;22360;33070;21420;25530;17070;36610;2,108E+04;28770;21960;35350;19410;33510;44680;30840;25780;45960;39890;25220;15700;27370;44440;33360;18710;55200;45550;5,348E+04;34460;40970;16240;38840;22010;26810;15900;44890;32120;18560;20800;28740;16980
NA;37170;47960;52480;17580;32010;20280;37930;49450;24560;14450;23850;14230;35780;10200;36290;22630;13160;36870;10190;72330;47890;24630;58390;46850;26080;30740;30220;70290;37190;58840;25680;8416;34760;19640;39140;27730;18850;16750;32040;51950;29260;82020;10730;13230;12570;37590;21090;26870;15880;19000;12870;14580;40640;30620;14380;29850;35550;25530;42060;20540;27680;27620;30780;40650;29840;13640;23540;24270;2,425E+04;36400;27620;36130;19700;13660;39200;44840;38370;29590;30450;28280;53340;24950;18200;36060;25510;17160;25560;4,424E+04;26000;24380;40750;16970;15840;43400;21010;31580;32920;18740;21810;16790;18620
NA;26590;50690;9835;44470;21140;22820;32840;21610;15350;28370;22810;26000;33790;12070;34110;32310;50870;36980;12770;24840;36880;77020;32650;29100;57970;62880;57050;57140;39580;33370;23620;9356;33270;27310;26480;19630;20380;22590;27620;21050;13780;29680;19520;9457;12550;14590;23110;16600;20070;30320;38160;49470;16300;17400;40120;67890;31600;13860;32240;35320;29650;49980;11570;12060;26710;33560;22050;25150;1,657E+04;28870;21640;30220;17710;17330;27860;21420;42790;35090;22070;27870;20460;13530;28990;19290;15340;57340;68480;4,273E+04;16920;19860;43750;28690;37890;15950;20200;27360;52960;32340;26490;18250;25390
