init;object;object.1;object.2;object.3;object.4;object.5;object.6;object.7;object.8;object.9;object.10;object.11;object.12;object.13;object.14;object.15;object.16;object.17;object.18;object.19;object.20;object.21;object.22;object.23;object.24;object.25;object.26;object.27;object.28;object.29;object.30;object.31;object.32;object.33;object.34;object.35;object.36;object.37;object.38;object.39;object.40;object.41;object.42;object.43;object.44;object.45;object.46;object.47;object.48;object.49;object.50;object.51;object.52;object.53;object.54;object.55;object.56;object.57;object.58;object.59;object.60;object.61;object.62;object.63;object.64;object.65;object.66;object.67;object.68;object.69;object.70;object.71;object.72;object.73;object.74;object.75;object.76;object.77;object.78;object.79;object.80;object.81;object.82;object.83;object.84;object.85;object.86;object.87;object.88;object.89;object.90;object.91;object.92;object.93;object.94;object.95;object.96;object.97;object.98;object.99;object
NA;63720;76670;72200;21020;29550;58780;51460;19340;71620;39080;50030;77760;32010;42880;72100;53630;61230;51630;91960;54670;40540;43490;42450;54080;84520;77670;68130;37470;29530;105700;57410;42520;49430;101100;26430;60460;37560;40100;67880;48410;52120;39850;89790;51900;43090;69990;64270;44310;33340;49430;41800;24390;65440;42020;36880;37740;36660;41170;39670;47560;66680;72900;76990;48950;95660;74590;72460;82520;62790;78630;24950;81930;14290;45570;63420;56510;41520;68620;74820;50080;76320;53950;35780;45070;60310;13490;83240;62310;57040;56580;47260;39530;46990;37520;33730;84830;30480;42430;38600;37490;49590
NA;66740;60700;47520;44770;12160;59820;74950;39010;80520;39560;34260;73310;39040;69670;41050;121900;73710;45780;37000;81190;74950;56990;59000;83970;31020;68500;36430;30400;49890;47000;65500;48870;65100;49460;51580;42780;38680;52750;51170;94250;89800;80260;31180;58060;35330;80280;52740;56360;42640;77390;61130;39330;42430;44690;31380;41640;82630;45460;98720;93140;100300;31490;41880;63710;47340;59290;45580;80960;57250;62710;55530;59240;34360;53090;59880;61880;38140;80620;27240;54720;31950;43250;35800;40220;56670;50810;69320;52370;28320;42420;31890;41840;37010;65840;41910;33310;32200;65100;54830;48060;47920
NA;34770;34720;63030;26010;64450;40180;31110;58640;91880;14600;51220;54980;78300;33970;69780;99880;37660;37640;39770;48690;20640;42870;46820;52930;43230;70220;46430;18460;46310;46200;33200;83410;47590;42560;78020;35070;33940;40670;82960;112300;51540;39390;61400;47440;73420;43410;47900;59080;89200;43930;33180;40120;41880;60960;35330;66700;65980;39600;39430;73930;60940;84830;55720;40910;78510;35040;42070;42990;57820;61030;53510;46920;50980;62000;66250;38830;74550;53350;72440;53330;37570;35490;46190;28280;47130;90500;68180;23170;29290;46290;70120;37140;32170;38460;71510;45530;58330;29950;44820;34490;67730
NA;57030;31080;71630;64490;52240;23120;60590;25240;40600;62270;39000;24580;102600;62510;54730;44900;47620;46650;43850;49200;73740;74350;90290;75780;94560;79750;48360;75000;56530;81750;50180;53560;37590;46290;60450;66150;54760;93210;85850;42640;42160;31000;68010;47620;55790;36420;78260;47430;59260;90450;57270;58590;55640;33080;76570;72710;47930;65210;66960;45150;75670;73150;42960;43790;49720;73030;22350;69340;79910;76270;82880;57070;39560;60160;61890;70430;53220;65760;47470;20460;78570;32990;46870;51490;47380;38570;73250;52500;50480;39220;47540;37910;27160;33180;51170;18980;42430;82500;46010;45580;42160
NA;50040;44820;54500;56340;30200;33640;26050;25590;47650;40910;48560;66480;53180;72290;46560;56090;63000;55230;43850;84880;80740;44020;35740;41830;85470;52740;53490;83380;48530;38010;94010;42560;49560;38720;55280;61600;56710;53310;47370;71240;63630;66010;50960;80230;56670;65500;30670;32290;38310;93180;31870;38670;33390;30060;57180;22600;80100;68410;73010;39120;78670;53280;74030;43320;66050;44500;62250;43210;52630;74320;75310;47900;56360;32620;73890;49110;35300;65210;97340;37620;33000;41650;58240;34970;54590;84060;83960;50510;53380;78760;55580;47350;47140;32290;32650;65960;36640;25560;29160;48140;90610
NA;53860;35320;82450;44250;50940;35030;26550;95360;46100;39500;32180;49660;55810;49200;45150;41580;54080;90710;98840;68610;46170;40920;74460;91270;69060;39520;46230;106300;83720;46980;43770;41510;39580;46390;53240;52720;64350;42400;87450;31890;57990;54630;25130;45710;73250;76160;65040;31950;37580;34350;45880;35070;78860;47910;62910;50370;17660;49520;66560;46060;69160;71570;44090;60140;44330;57520;51680;44920;100200;75210;44030;45700;57620;58670;44350;46590;71900;47890;42980;48360;64690;41480;68250;41710;73050;56650;41360;60940;33000;47600;49540;31440;57900;30630;23450;34350;37410;46790;49660;69790;31930
NA;43640;31980;30860;60130;69180;84790;59430;34170;35650;46060;48420;40560;54450;64300;65410;40460;40330;49130;55620;44200;48130;106000;62400;39800;61340;34440;83110;36090;46430;75260;60640;48250;77920;40170;42390;40020;49120;41720;54440;67800;46090;34830;82240;37520;39300;73070;44670;25380;66310;46060;34020;42300;49400;48100;75690;46600;36310;39990;74330;79080;42470;53640;45750;98630;52720;42050;46150;43110;62470;48660;36710;10090;52360;76040;80490;74780;34650;36630;63880;67770;56520;39450;43830;44860;45460;69340;32150;38290;66440;39560;59140;29670;73070;52090;37520;63690;84750;81380;37190;46060;40700
NA;54700;30200;35470;57210;56220;30540;29470;59110;38890;70460;36980;49440;39470;99090;44490;53000;41050;46620;77350;69660;52190;39260;32440;30210;44410;33490;85910;46040;45840;63420;29080;88680;66190;45110;65830;69900;18860;47020;72810;50660;44080;89100;69640;60250;45590;36980;38790;48820;51290;30220;50460;43010;43240;79110;28130;36330;71100;38790;40900;48580;95890;88920;87510;58490;123700;93590;92760;47490;48250;39320;77790;42590;87100;45680;52830;73590;54700;57210;40640;45260;40780;50950;74240;23460;50310;55370;71210;59130;39880;47600;107600;48400;40800;86480;41600;31480;25940;49900;30430;77830;33110
NA;31590;32790;32730;38530;29680;23100;88290;34110;53680;65970;38890;28710;42750;84990;34660;54710;75180;62550;60680;55160;91880;49980;65080;10110;45310;42590;35660;28200;40400;73080;54520;43780;70800;60860;70090;47990;57150;56680;60180;43160;50570;57350;153600;38380;35210;31970;55610;48910;36130;75490;78100;10710;33550;50590;44470;47860;63890;76710;76370;46510;37960;93920;86430;72190;48860;39100;57870;46430;64290;132600;73580;48030;49950;70530;53760;50820;13140;50270;38130;43330;84620;82370;96040;52740;42010;47160;31130;70290;40970;40970;25140;49460;16760;42960;50690;20440;78590;75570;66560;48140;62310
NA;70820;34850;30710;65230;29440;37410;44610;106900;94490;117800;53550;95650;69410;39300;46470;48810;45020;51270;82000;58520;87840;38620;86340;40710;52200;43890;47550;24600;68270;47770;44330;67520;69370;67020;51980;40240;59700;59750;120300;47200;35560;43240;30390;26490;54070;35270;36970;28130;25470;67340;44830;25850;44110;64540;35140;36080;35930;45670;53270;33170;82060;46040;81050;44970;89990;53750;60170;43750;59460;57580;57300;43770;48970;56930;78270;65610;58090;43630;56310;69040;66940;83290;36820;95790;38390;55300;56980;43960;86310;31940;37580;91790;34210;91340;34770;72940;66520;21570;91430;54780;50580
