init;object;object.1;object.2;object.3;object.4;object.5;object.6;object.7;object.8;object.9;object.10;object.11;object.12;object.13;object.14;object.15;object.16;object.17;object.18;object.19;object.20;object.21;object.22;object.23;object.24;object.25;object.26;object.27;object.28;object.29;object.30;object.31;object.32;object.33;object.34;object.35;object.36;object.37;object.38;object.39;object.40;object.41;object.42;object.43;object.44;object.45;object.46;object.47;object.48;object.49;object.50;object.51;object.52;object.53;object.54;object.55;object.56;object.57;object.58;object.59;object.60;object.61;object.62;object.63;object.64;object.65;object.66;object.67;object.68;object.69;object.70;object.71;object.72;object.73;object.74;object.75;object.76;object.77;object.78;object.79;object.80;object.81;object.82;object.83;object.84;object.85;object.86;object.87;object.88;object.89;object.90;object.91;object.92;object.93;object.94;object.95;object.96;object.97;object.98;object.99;object
NA;1272.012;541.7036;336.7718;5243.538;12616.66;731.8339;501.2665;883.6635;5643.636;6936.705;1492.355;1763.207;686.8191;272.2251;839.5642;898.1598;673.0858;232.7036;2112.797;4532.151;339.0607;1701.712;1491.592;2067.171;14331.19;565.0502;1919.004;2735.069;699.7894;700.705;666.3717;4317.759;12213.2;145.1155;8642.537;486.7703;1681.112;1187.933;806.2991;237.434;1133.61;10181.13;3047.731;478.3777;1873.684;3469.497;255.8977;6798.761;11915.95;821.5583;13234.96;3046.358;1651.051;18348.8;14560.38;1749.779;2256.234;392.468;8966.339;2785.425;5686.056;918.6072;1208.38;306.711;500.8088;6965.087;1326.334;2622.761;3843.654;474.1051;277.4133;9544.054;1329.844;725.425;3281.045;1422.62;7385.327;265.0533;2477.035;1167.943;283.0592;379.4977;247.6577;215.0029;1640.37;198.5229;6303.141;1228.675;224.7688;2477.34;606.0977;2821.589;774.5598;1298.563;21040.99;5516.221;1429.334;255.5925;19298.53;921.0486;4928.434
NA;551.9272;292.5199;1854.61;6640.98;876.4916;28703.88;1037.172;929.899;2118.442;1085.849;2887.509;211.4933;1717.734;560.6251;821.1005;392.1629;5671.408;474.2577;1529.893;981.7805;912.8087;375.3777;13380.38;19032.72;259.7125;3043.306;4258.095;284.2799;1942.961;1848.048;744.6517;1411.176;156.2548;601.3672;775.6279;446.4858;1398.816;2615.131;812.7079;1058.687;9879.758;664.9984;637.8369;1953.948;263.2222;4497.666;236.8236;685.7509;2593.005;299.8444;1096.835;1317.942;508.7436;314.0355;352.031;659.6576;772.1183;1506.089;527.5125;13245.34;578.3258;243.3851;1035.951;1611.53;296.1822;4966.125;3117.466;579.6991;2068.392;208.7466;435.0414;860.7746;1098.972;683.7672;1289.712;157.9333;6982.94;1592.303;587.6339;8549.761;712.6072;1780.297;614.0325;202.9481;248.7259;671.4072;15768.3;247.0473;487.228;9046.145;9376.354;4000.214;501.2665;836.2072;420.5451;606.2502;16976.53;3307.291;864.2842;870.3879;3246.406
NA;458.8458;29371.02;747.3983;11896.12;25228.13;27957.25;18814.51;2166.814;3985.26;520.188;1921.903;5020.753;977.0501;1566.363;178.2281;3332.316;1115.909;6918.394;2759.942;314.0355;15203.86;430.0058;1286.66;17184.82;431.6843;944.3953;520.3406;8733.94;321.9703;6867.581;1071.963;625.782;377.2088;722.6783;291.6044;582.9036;4276.864;774.2546;2059.694;429.0903;917.2338;10032.2;801.1109;1704.306;1031.373;659.9628;786.0043;1044.801;3175.146;25307.93;6145.055;1188.086;218.0548;9891.05;2918.79;246.2844;1338.237;852.9924;387.1273;155.9496;520.188;3240.608;271.6147;7292.551;303.5066;455.9466;225.3792;2167.425;555.2843;5306.559;230.7199;3214.972;10515;11747.95;12078.62;2390.21;4176.306;2246.315;5542.772;420.3925;510.4221;877.2546;3918.882;1455.58;610.6754;129.7037;1636.86;2918.485;101.7792;100.5585;4124.271;771.8132;1050.295;497.1465;11723.99;449.3851;2628.712;296.0296;1550.646;1879.025;10025.94
NA;153.8133;918.9124;2685.019;1828.669;1089.358;406.5066;406.2014;1266.366;1425.062;4721.977;1061.586;4990.845;417.951;432.9051;358.4399;1148.259;9697.715;955.6872;1163.671;904.4161;501.2665;248.5733;392.9258;478.6828;11923.12;905.6368;2630.848;553.3006;5248.116;561.8458;612.6591;1069.063;576.9525;2555.01;1112.858;413.2206;662.0991;4346.141;414.4414;332.3466;1341.746;6178.167;471.9688;156.8651;6693.93;4548.631;556.0472;5608.692;14221.63;292.8251;1720.328;22109.29;10341.96;1037.629;208.7466;5439.009;887.7835;1028.932;17390.97;3025.453;1695.761;283.6696;7694.174;1877.499;636.6161;3825.038;1582.843;891.9035;1355.785;788.5983;385.6014;15894.96;380.4132;1439.406;7921.08;1019.929;9046.449;1314.585;677.6635;315.4088;245.3688;794.8546;542.1613;714.4384;158.5437;4294.565;544.4503;3331.706;8140.813;1044.954;16104.01;513.0162;995.056;184.637;367.1377;867.1835;8694.113;241.0962;2338.786;835.7495;1362.346
NA;10414.44;2336.192;3712.577;590.228;818.5065;818.0487;9334.087;312.5096;540.025;1254.921;1040.681;3755.15;1373.028;508.591;2465.438;987.579;210.4251;1684.317;677.2057;531.4799;781.579;3120.823;3282.724;1247.597;2075.717;2612.537;465.1021;189.6725;415.5095;246.8948;309.7629;5255.44;185.4;295.5718;524.0029;374.0043;192.4192;17686.39;3022.706;1453.292;1052.583;172.1244;3527.177;1758.019;350.9629;3492.844;324.1066;2532.121;17176.28;943.022;579.2413;22260.66;567.9495;549.791;2311.93;980.5598;413.6784;191.6563;4162.725;11905.42;945.4634;6748.711;543.8398;4919.126;7006.745;1197.089;545.5184;1899.472;191.6563;271.3096;1902.066;264.2903;3953.063;207.2207;1145.512;2712.18;2893.307;6531.114;424.0547;10375.99;503.2502;843.6842;479.4458;185.3999;1759.545;7448.958;5437.331;391.3999;11752.22;906.3998;155.6444;952.7879;732.4443;7008.118;237.1288;16302.84;856.9598;275.8873;12647.02;299.0814;1532.029
NA;9856.716;13879.82;2410.81;4049.959;604.8769;25236.21;844.7524;1527.299;701.3154;821.8635;1918.851;894.4976;1735.435;4057.894;496.6888;830.1035;719.4739;11751;3324.229;560.6251;15610.68;1075.167;675.3746;26839.96;315.8666;14686.27;623.951;6140.629;1736.961;408.6429;291.2992;333.2621;141.7585;1694.693;546.5865;3677.938;767.5405;507.828;687.1243;206.9155;13853.42;1180.303;14767.45;4649.495;11206.85;9612.263;196.234;8689.841;793.7865;6802.118;27736.44;399.3347;323.4962;1912.9;1620.686;680.868;805.0783;775.7806;1099.277;8931.395;588.3969;381.1762;281.5333;2752.312;544.1451;1510.361;550.2488;385.6014;2960.753;6627.095;220.4962;10412.15;1353.191;545.2132;263.0696;210.8829;4354.076;1719.108;2078.616;407.2695;240.791;2661.824;3902.097;1251.259;874.5079;1093.021;380.4132;298.3185;494.7051;1078.066;330.3629;1020.692;2206.183;340.2814;388.9584;304.2696;1957.915;863.3687;12248.3;271.6147;228.5836
NA;8310.343;494.2473;5148.931;24770.65;10939.21;25761.59;193.1822;11606.34;242.4696;226.1422;1050.295;1914.274;7448.806;19900.82;820.0324;2042.909;25562.46;3572.192;487.5332;7016.206;300.6073;3167.822;995.056;1041.597;1457.564;793.0235;2073.733;1873.989;2368.694;681.1732;1755.577;948.9731;9245.125;7327.189;3796.503;3173.01;3618.122;782.9524;1717.124;1155.583;374.6147;211.0355;391.2473;2035.737;567.9495;3589.435;3075.808;28959.32;2930.998;951.4146;843.379;8337.962;11446.58;1151.311;387.5851;1811.731;4239.021;496.3836;2251.808;741.5998;1780.755;5055.696;608.3865;777.9169;399.0295;347.6058;339.3658;22463.3;10116.73;1084.017;306.711;835.5968;406.2014;3596.149;204.6266;1470.992;698.7213;2522.66;505.8443;1412.091;820.6428;649.1287;158.6963;970.7938;7224.647;182.8059;469.6799;4496.14;442.8236;3703.269;277.1081;941.1909;4579.15;18304.39;4628.895;476.6991;139.0118;3897.214;11546.83;448.1643;470.2903
NA;765.4042;709.5554;341.0444;3759.881;507.0651;17695.09;2084.262;2939.39;6838.588;323.191;359.5081;1278.268;1182.287;3574.328;2770.776;2520.219;420.3925;2135.38;3384.503;871.3035;15515.31;3135.93;3507.798;3639.333;2681.814;270.8518;565.2028;1276.589;20832.24;280.1599;1349.986;770.4398;1547.746;268.7155;1149.175;261.3911;521.5613;2764.367;2029.023;4669.332;4099.094;1813.257;1039.308;636.6161;6403.852;2176.733;4281.137;230.2622;401.6236;6534.318;1953.795;5518.357;356.914;10918.3;700.705;513.9317;989.5627;18548.39;11629.84;1621.448;3228.248;4667.806;2470.473;408.3377;7779.474;775.0176;1232.338;419.7821;1384.167;7202.063;348.3688;22428.05;219.8859;487.5332;2844.02;1300.852;365.3066;2876.827;4677.267;18503.22;7085.94;1678.213;171.0563;3669.088;186.7733;6940.825;1926.328;930.0516;800.348;1464.278;2046.266;307.474;12253.64;2415.845;443.2814;7405.317;358.8977;227.6681;11413.01;129.2459;1120.182
NA;10435.5;1903.897;9612.568;1811.274;26204.57;12325.82;437.3303;212.4088;2708.518;28788.57;386.9747;601.825;423.9021;575.8843;750.7554;2826.167;2442.091;228.4311;1857.662;2253.945;1414.38;2153.844;579.5465;2685.171;231.0251;313.4251;1680.197;1927.244;7575.458;671.5598;8817.866;248.1155;1284.677;9882.047;2862.484;196.0814;6100.192;167.394;1870.479;2140.111;326.2429;10836.36;2258.37;3446.608;20612.66;3061.922;608.2339;969.8782;672.9332;8533.586;2224.952;20301.07;1558.275;861.0798;5215.156;2181.311;6585.132;2632.679;7199.012;3402.967;1811.426;920.7435;2539.903;1353.649;6007.874;2736.29;1174.047;5080.264;953.3983;5084.537;220.0385;1748.558;19377.27;6236;209.357;622.7302;288.0947;452.1317;2421.186;304.4221;1582.69;1189.459;9911.191;417.951;768.3035;300.9125;813.7761;670.3391;496.231;292.2148;4009.369;3387.707;1067.69;4354.229;343.3333;837.2753;1011.841;20394.61;274.3614;6726.738;142.8266
NA;3043.153;12948.55;1065.859;531.1747;12434.77;26984.47;346.6903;18363.45;4085.513;136.4177;4630.116;408.1851;13280.28;225.9896;13820.31;560.6251;964.0798;711.9969;651.8754;195.6237;674.1539;1461.837;12053.59;595.5687;15683.77;1146.275;10982.85;166.3259;562.4562;3962.676;1719.413;1334.574;1603.748;2175.512;989.8679;1406.293;651.5702;233.7718;590.6858;1280.709;1168.096;1637.013;3496.353;2241.127;3548.082;4350.108;724.8146;711.3865;537.431;368.3584;23754.39;24302.35;8775.598;552.6902;535.5999;2336.65;811.0294;1867.733;4872.28;647.4502;344.2488;13020.57;2238.228;1073.183;561.9984;730.0028;1231.727;378.5821;377.0562;366.9851;1042.665;276.1925;204.0163;969.4205;3324.534;303.354;194.0977;615.1006;452.1317;1959.288;355.3881;1192.969;149.5407;1811.274;1989.654;12648.09;126.4992;5721.763;1781.976;5729.24;5676.748;624.4088;10719.47;16060.37;799.1272;2907.041;1540.269;1590.167;114.1392;18200.17;1389.355
