init;object;object.1;object.2;object.3;object.4;object.5;object.6;object.7;object.8;object.9;object.10;object.11;object.12;object.13;object.14;object.15;object.16;object.17;object.18;object.19;object.20;object.21;object.22;object.23;object.24;object.25;object.26;object.27;object.28;object.29;object.30;object.31;object.32;object.33;object.34;object.35;object.36;object.37;object.38;object.39;object.40;object.41;object.42;object.43;object.44;object.45;object.46;object.47;object.48;object.49;object.50;object.51;object.52;object.53;object.54;object.55;object.56;object.57;object.58;object.59;object.60;object.61;object.62;object.63;object.64;object.65;object.66;object.67;object.68;object.69;object.70;object.71;object.72;object.73;object.74;object.75;object.76;object.77;object.78;object.79;object.80;object.81;object.82;object.83;object.84;object.85;object.86;object.87;object.88;object.89;object.90;object.91;object.92;object.93;object.94;object.95;object.96;object.97;object.98;object.99;object
NA;1916.563;4947.966;8818.323;981.7805;555.2843;2094.333;3551.897;6423.689;5419.02;3066.042;1766.411;7323.069;2378.765;2280.801;8382.062;4333.323;3712.272;2169.561;3509.476;7882.016;8416.548;699.3317;5713.981;1184.271;792.8709;1543.779;2949.004;483.108;1736.656;6282.388;603.5035;7919.096;623.0354;3989.38;3032.625;2428.816;2391.736;8729.515;1434.828;1665.395;1834.468;2303.69;9131.901;3355.968;2982.879;4926.146;3792.23;9316.386;3080.691;8070.773;9875.027;2135.533;644.0931;410.7792;5292.215;7309.336;2364.422;2187.719;1429.182;1219.672;3144.627;8254.189;3393.353;5696.585;12026.89;8498.337;7025.972;3645.894;7567.065;4075.594;2349.162;3261.513;5112.461;5542.314;3248.085;13230.84;6429.945;4619.435;4599.445;2516.556;11203.19;13627.89;496.0784;2114.933;8220.771;1006.043;9035.157;1925.108;1338.237;2869.503;1372.723;3281.808;787.988;3028.199;6749.779;6344.188;3176.824;8360.241;242.4696;5114.292;1251.106
NA;1487.625;8886.532;1829.432;1561.327;5996.583;1727.653;8243.354;1973.937;11638.54;9975.891;10128.79;11512.8;3878.597;2708.67;10278.48;4096.347;5521.409;9807.733;3287.302;9972.229;9715.11;8215.125;720.2369;4678.03;7411.268;1308.939;3010.346;8731.498;1683.401;1137.578;4127.171;2746.513;1946.318;1237.526;1912.29;5050.813;2395.093;6470.84;7215.644;3272.347;12746.36;6243.324;2078.616;7384.412;12391.58;10104.07;6804.255;1817.225;629.5969;364.2384;2538.835;664.5406;937.8339;905.179;3654.439;4222.846;2636.189;2034.669;4385.51;1091.342;1552.019;6238.289;10762.05;8705.101;2879.116;4218.727;2514.878;11140.63;4491.714;4139.226;1623.127;2003.693;3712.729;5803.095;11336.25;14651.63;2517.625;10004.73;12878.66;3861.813;7917.265;3764.153;1963.256;6601.154;3089.084;4482.101;2811.823;8393.048;1517.991;9503.159;10012.06;1210.212;7179.174;3387.402;728.0191;6527.91;9965.819;5839.717;4255.043;1553.85;801.8739
NA;11447.8;2241.127;2983.948;8059.481;7035.127;5760.369;6858.272;4971.313;3379.925;3414.716;10335.4;10833.77;2978.607;2404.096;7903.378;1637.471;4181.646;1678.823;6684.775;2173.833;1253.853;2502.365;1907.865;4385.357;9514.756;4904.02;2989.593;765.4042;4159.826;2869.045;2944.731;2842.799;2299.722;8406.019;10079.65;8884.396;2081.363;9385.663;5574.206;2316.05;6312.144;2234.871;3772.393;2333.445;7184.668;858.3331;3117.466;2933.592;1035.798;12063.05;5675.375;6541.338;5154.882;9101.23;1049.074;8336.284;2081.668;9651.326;10923.64;1650.746;7831.813;9915.007;777.0013;2357.708;5026.246;1247.902;1293.68;12522.66;2792.749;948.8205;1740.318;3409.07;6516.465;6981.567;301.9807;5242.317;11978.06;9978.027;8099.155;3550.219;4734.489;1546.373;11754.97;2009.644;3711.967;10553.76;2214.576;803.8575;7400.281;475.3258;2425.611;2678.762;911.588;1345.256;1664.327;1033.204;3003.784;4147.923;3872.036;3572.344;1124.607
NA;672.0176;6697.44;2827.235;1258.583;764.6413;6867.581;6832.637;1289.255;2281.869;1745.354;1070.742;10133.67;2942.595;2417.066;7746.819;1996.063;1625.874;10098.73;2312.387;1132.694;2727.439;7341.533;2225.105;3069.552;7254.098;876.0339;3726.157;623.4932;474.2577;7415.998;8382.52;2261.727;2667.928;1927.091;2732.627;3838.16;8214.973;222.9377;3661;9130.833;1262.398;1678.365;4706.107;1482.742;3772.546;7366.558;8828.547;1406.446;4071.78;1415.143;1017.487;4394.818;2156.743;7814.723;1873.837;10342.57;4937.285;1464.431;4599.597;4728.233;6669.973;9500.87;2146.825;3643.147;5575.122;2260.048;5258.492;4926.908;3199.866;2307.047;2529.527;3627.735;2371.746;10733.21;2665.334;679.9524;2454.909;10991.09;1839.198;1903.287;1729.484;13843.65;432.5999;2949.767;8220.161;1508.072;4112.37;8460.188;3919.645;299.0814;922.8798;10792.41;8403.119;8017.06;6383.404;630.5125;6176.642;5171.362;6752.678;1107.822;1131.169
NA;8742.333;1417.89;10404.83;8704.795;637.8369;5569.781;3759.117;5916.166;262.0014;8333.995;10435.35;863.3687;5537.736;1888.943;7109.745;3929.411;2780.084;2567.37;4521.928;11353.8;2138.737;2374.035;5196.54;3235.573;2407.147;808.8931;8093.356;377.2088;1607.105;2586.444;1311.533;9241.463;3348.033;3723.563;1937.773;3843.959;9356.976;8354.9;2487.716;2710.654;3089.084;2624.287;9049.044;2526.78;1649.068;2172.765;10895.87;4593.646;10873.59;6182.44;5254.982;2060.762;9002.197;1837.825;7235.023;772.5761;4887.234;1201.056;444.1969;5862.911;2308.268;3594.012;780.5109;2637.41;1370.739;3558.458;6081.881;5548.723;3754.692;8644.521;343.3333;4379.864;1437.269;4398.633;3423.719;3636.433;9902.036;8870.663;3298.288;13047.12;8234.81;864.8946;792.8709;4079.715;6929.075;2131.26;10978.42;3280.435;5262.612;1770.531;1724.906;1378.826;1152.684;423.7495;1417.127;8208.869;11077.3;2050.386;9415.571;2276.986;8186.59
NA;7023.988;2330.851;5851.162;1072.268;6538.133;2136.601;2700.888;4883.267;2011.933;9101.688;9257.943;8924.376;2574.999;9742.119;2639.393;5954.619;11920.38;9571.979;9768.822;775.4753;748.1613;3355.205;1111.026;6136.662;4089.175;2238.075;8552.965;692.6176;3850.215;187.6888;5152.898;734.1228;2740.715;1656.24;4409.314;8061.312;2824.335;7949.004;2074.648;1765.954;1552.019;9885.709;3209.479;12789.09;3535.722;5965.606;2706.839;4332.713;9899.747;5491.653;5145.421;2527.848;8390.149;704.2147;1730.247;4598.529;10984.53;2939.543;1842.555;11219.06;5839.717;5684.073;11272.78;920.7435;6969.817;2645.497;4162.267;1710.868;7822.962;2661.214;10833.31;2428.663;3436.689;4200.263;10243.23;12681.66;7573.626;3949.553;14319.74;11588.64;803.5524;6172.369;8480.789;4556.108;3154.698;8051.241;941.1909;3473.617;11915.34;8860.744;3381.604;3411.969;2526.475;9293.802;4162.877;2848.445;2651.448;3737.602;8576.923;1244.392;8850.826
NA;1457.106;6175.42;8580.279;8966.186;6396.069;2235.023;8676.718;4449.446;4019.44;1456.343;5272.073;3229.011;6863.308;3501.541;2500.839;5186.011;4725.944;9769.28;9880.063;4868.618;2295.755;3604.236;820.185;1375.927;824.6102;1028.626;2954.192;679.9525;4445.937;679.342;7484.665;1063.57;1711.783;9319.285;4050.722;4544.054;6444.136;6322.825;1130.863;2145.451;4648.274;3922.239;11705.83;1738.334;12048.71;1825.465;8759.881;4250.313;1551.103;11115.3;7183.752;7500.382;377.9717;2317.576;687.8873;1292.764;4761.346;7763.451;8293.558;9706.26;3076.571;11629.38;2194.891;2570.727;4933.623;4712.058;3866.848;2798.547;3917.051;2734.611;3492.386;1805.17;1877.957;10950.5;2645.192;6996.674;9370.709;4323.405;7302.164;3347.575;3080.996;4088.412;707.4191;13502.15;4654.226;9721.52;5208.747;2621.998;7663.961;7737.663;8863.796;8186.743;1319.01;7661.062;492.2636;7980.743;2053.285;6820.887;4862.209;3017.67;7803.889
NA;853.4501;4044.923;1176.794;9952.239;3088.321;10927.46;11232.95;1272.469;10995.82;695.9747;4799.494;1687.369;5010.529;7209.388;4274.27;3150.121;563.0665;3912.778;7809.077;12666.86;848.1094;2134.312;5443.129;3514.817;1649.831;1603.595;768.7613;8072.299;4627.674;5972.778;2474.136;3133.641;1440.626;2831.813;6394.086;2554.552;737.022;6158.025;2589.038;3026.216;1419.416;1681.875;5573.291;1622.211;11292.46;4141.209;2801.294;10682.55;1525.468;704.0621;1293.222;3864.101;10592.52;3124.18;948.6679;1360.363;1569.414;3921.018;2275.308;9293.649;7316.66;1637.928;11259.96;10191.05;8779.412;3698.691;2267.983;11461.38;2764.977;11626.48;10576.5;6614.735;11130.56;4357.433;1879.483;3334.147;2843.715;5610.828;2657.247;2944.273;13184.3;10524.61;1183.66;10654.01;4706.717;668.508;857.7227;8560.29;4442.58;5251.625;1164.586;8129.673;6974.548;1919.309;738.8531;7357.708;3261.361;4045.839;2565.844;6801.661;1965.24
NA;8625.904;2193.976;3518.784;6311.381;6531.267;7914.976;4620.197;12135.99;2883.694;3186.896;4180.578;704.3672;1484.726;1487.472;1389.66;10591.6;1744.286;1707.205;607.0132;11664.17;1222.266;3808.71;7491.989;3785.058;1573.992;3035.524;5193.945;2658.62;1196.631;6063.723;908.5361;2564.165;2060.305;9075.29;8791.314;2464.37;1845.912;8310.496;2775.506;2154.912;12187.26;2497.94;1968.444;1919.004;1418.348;3659.932;5977.355;5611.133;1138.188;1108.738;810.2665;5112.003;758.0798;2136.143;1435.591;3230.079;5402.54;9364.91;6349.071;10043.18;2924.589;1686.3;1318.552;2385.022;4160.588;11543.63;1970.885;5993.225;2223.273;1814.936;11072.27;3538.621;4277.78;9820.552;13075.81;3198.493;5033.876;7185.583;281.3807;13896.3;2597.125;2102.115;12437.97;4141.82;4571.063;8194.83;6020.387;6286.508;10113.22;7527.849;5861.08;5350.658;1605.731;1402.173;986.9686;677.9688;7565.233;6569.109;4487.899;2128.666;4206.671
NA;3268.532;12287.36;500.6562;10157.93;2644.276;7709.281;1684.622;11508.84;1624.958;6843.013;4173.406;3299.204;9170.05;2562.792;9006.471;12095.1;3783.532;11457.87;8624.531;10769.68;9662.924;3706.626;2840.205;698.4161;5893.125;1187.475;3783.685;744.9568;1705.985;3374.279;7603.535;6252.48;8342.388;4178.747;6974.7;265.511;3830.531;8676.87;2049.928;6234.474;9906.919;12102.42;12091.74;2101.047;3995.178;4068.117;3851.131;1198.004;5165.563;11450.24;8634.603;7762.994;11757.56;1098.819;9992.218;1434.37;5711.997;8466.598;4698.935;615.7109;9832.759;857.8754;6082.645;8697.317;7696.769;10591.6;9340.953;355.6932;5370.19;8191.016;1293.222;10850.7;4549.7;4812.159;6440.169;11233.71;6134.831;12734.92;10692.16;1535.386;1871.548;2542.192;1148.869;13947.42;1893.979;6811.884;2693.106;3298.441;3160.955;2882.779;3910.947;8059.481;1054.872;4009.98;7948.241;1134.373;5010.682;1998.505;9992.981;2216.102;3691.366
