# time_flux P1 P2 Z PO4 Psupply
0.000000000000000000e+00 2.903299694378223550e-01 2.620371166417742592e-01 4.152952534401078699e-01 2.449229189580543198e-01 5.000000000000000278e-02
1.000000000000000056e-01 2.903299656821337615e-01 2.620369839749390750e-01 4.152952488799994124e-01 2.449229220918285044e-01 5.000000000000000278e-02
2.000000000000000111e-01 2.903299656821337615e-01 2.620369839749390750e-01 4.152952488799994124e-01 2.449229220918285044e-01 5.000000000000000278e-02
3.000000000000000444e-01 2.903299619283063460e-01 2.620368513738452476e-01 4.152952443221533674e-01 2.449229252240514021e-01 5.000000000000000278e-02
4.000000000000000222e-01 2.903299619283063460e-01 2.620368513738452476e-01 4.152952443221533674e-01 2.449229252240514021e-01 5.000000000000000278e-02
5.000000000000000000e-01 2.903299581763391646e-01 2.620367188384601365e-01 4.152952397665685691e-01 2.449229283547237901e-01 5.000000000000000278e-02
6.000000000000000888e-01 2.903299581763391646e-01 2.620367188384601365e-01 4.152952397665685691e-01 2.449229283547237901e-01 5.000000000000000278e-02
7.000000000000000666e-01 2.903299544262312737e-01 2.620365863687511565e-01 4.152952352132439628e-01 2.449229314838464178e-01 5.000000000000000278e-02
8.000000000000000444e-01 2.903299544262312737e-01 2.620365863687511565e-01 4.152952352132439628e-01 2.449229314838464178e-01 5.000000000000000278e-02
9.000000000000000222e-01 2.903299506779817851e-01 2.620364539646856672e-01 4.152952306621783829e-01 2.449229346114200345e-01 5.000000000000000278e-02
1.000000000000000000e+00 2.903299506779817851e-01 2.620364539646856672e-01 4.152952306621783829e-01 2.449229346114200345e-01 5.000000000000000278e-02
1.100000000000000089e+00 2.903299469315896997e-01 2.620363216262311945e-01 4.152952261133707190e-01 2.449229377374455008e-01 5.000000000000000278e-02
1.200000000000000178e+00 2.903299469315896997e-01 2.620363216262311945e-01 4.152952261133707190e-01 2.449229377374455008e-01 5.000000000000000278e-02
1.300000000000000044e+00 2.903299431870541847e-01 2.620361893533551534e-01 4.152952215668198610e-01 2.449229408619234549e-01 5.000000000000000278e-02
1.400000000000000133e+00 2.903299431870541847e-01 2.620361893533551534e-01 4.152952215668198610e-01 2.449229408619234549e-01 5.000000000000000278e-02
1.500000000000000000e+00 2.903299394443742409e-01 2.620360571460250143e-01 4.152952170225246431e-01 2.449229439848548129e-01 5.000000000000000278e-02
1.600000000000000089e+00 2.903299394443742409e-01 2.620360571460250143e-01 4.152952170225246431e-01 2.449229439848548129e-01 5.000000000000000278e-02
1.700000000000000178e+00 2.903299357035490358e-01 2.620359250042082477e-01 4.152952124804840106e-01 2.449229471062401853e-01 5.000000000000000278e-02
1.800000000000000044e+00 2.903299357035490358e-01 2.620359250042082477e-01 4.152952124804840106e-01 2.449229471062401853e-01 5.000000000000000278e-02
1.900000000000000133e+00 2.903299319645776255e-01 2.620357929278723241e-01 4.152952079406967978e-01 2.449229502260803770e-01 5.000000000000000278e-02
2.000000000000000000e+00 2.903299319645776255e-01 2.620357929278723241e-01 4.152952079406967978e-01 2.449229502260803770e-01 5.000000000000000278e-02
2.100000000000000089e+00 2.903299282274590110e-01 2.620356609169848250e-01 4.152952034031618389e-01 2.449229533443762208e-01 5.000000000000000278e-02
2.200000000000000178e+00 2.903299282274590110e-01 2.620356609169848250e-01 4.152952034031618389e-01 2.449229533443762208e-01 5.000000000000000278e-02
2.300000000000000266e+00 2.903299244921923039e-01 2.620355289715132763e-01 4.152951988678781348e-01 2.449229564611284382e-01 5.000000000000000278e-02
2.400000000000000355e+00 2.903299244921923039e-01 2.620355289715132763e-01 4.152951988678781348e-01 2.449229564611284382e-01 5.000000000000000278e-02
2.500000000000000000e+00 2.903299207587766717e-01 2.620353970914252040e-01 4.152951943348445196e-01 2.449229595763377787e-01 5.000000000000000278e-02
2.600000000000000089e+00 2.903299207587766717e-01 2.620353970914252040e-01 4.152951943348445196e-01 2.449229595763377787e-01 5.000000000000000278e-02
2.700000000000000178e+00 2.903299170272111152e-01 2.620352652766882451e-01 4.152951898040597722e-01 2.449229626900051027e-01 5.000000000000000278e-02
2.800000000000000266e+00 2.903299170272111152e-01 2.620352652766882451e-01 4.152951898040597722e-01 2.449229626900051027e-01 5.000000000000000278e-02
2.900000000000000355e+00 2.903299132974947461e-01 2.620351335272698701e-01 4.152951852755228379e-01 2.449229658021311040e-01 5.000000000000000278e-02
3.000000000000000000e+00 2.903299132974947461e-01 2.620351335272698701e-01 4.152951852755228379e-01 2.449229658021311040e-01 5.000000000000000278e-02
3.100000000000000089e+00 2.903299095696266208e-01 2.620350018431377714e-01 4.152951807492326619e-01 2.449229689127164766e-01 5.000000000000000278e-02
3.200000000000000178e+00 2.903299095696266208e-01 2.620350018431377714e-01 4.152951807492326619e-01 2.449229689127164766e-01 5.000000000000000278e-02
3.300000000000000266e+00 2.903299058436058511e-01 2.620348702242594752e-01 4.152951762251880785e-01 2.449229720217620532e-01 5.000000000000000278e-02
