# Time P1 P2 Z PO4
0.000000000000000000e+00 5.999999999999999778e-01 1.000000000000000056e-01 5.999999999999999778e-01 5.000000000000000000e-01
1.000000000000000056e-01 6.091755789473684013e-01 1.018250766045548789e-01 6.066198352402746297e-01 5.130203421597472335e-01
2.000000000000000111e-01 6.091755789473684013e-01 1.018250766045548789e-01 6.066198352402746297e-01 5.130203421597472335e-01
3.000000000000000444e-01 6.189593416752536825e-01 1.037715663909929836e-01 6.134883204312848726e-01 5.248946594876583438e-01
4.000000000000000222e-01 6.189593416752536825e-01 1.037715663909929836e-01 6.134883204312848726e-01 5.248946594876583438e-01
5.000000000000000000e-01 6.292967148738145555e-01 1.058363966508063664e-01 6.206238053551638156e-01 5.356534660674306947e-01
6.000000000000000888e-01 6.292967148738145555e-01 1.058363966508063664e-01 6.206238053551638156e-01 5.356534660674306947e-01
7.000000000000000666e-01 6.401334662189024360e-01 1.080166094479285410e-01 6.280440295662433892e-01 5.453271456188263366e-01
8.000000000000000444e-01 6.401334662189024360e-01 1.080166094479285410e-01 6.280440295662433892e-01 5.453271456188263366e-01
9.000000000000000222e-01 6.514149556139559039e-01 1.103093022779758070e-01 6.357661217598016279e-01 5.539467607968593388e-01
1.000000000000000000e+00 6.514149556139559039e-01 1.103093022779758070e-01 6.357661217598016279e-01 5.539467607968593388e-01
1.100000000000000089e+00 6.630855311903030014e-01 1.127115798696633892e-01 6.438065811768156621e-01 5.615447277618222932e-01
1.200000000000000178e+00 6.630855311903030014e-01 1.127115798696633892e-01 6.438065811768156621e-01 5.615447277618222932e-01
1.300000000000000044e+00 6.750880536163159640e-01 1.152205161940369760e-01 6.521812424188363488e-01 5.681553720801841845e-01
1.400000000000000133e+00 6.750880536163159640e-01 1.152205161940369760e-01 6.521812424188363488e-01 5.681553720801841845e-01
1.500000000000000000e+00 6.873635379784152066e-01 1.178331260780287049e-01 6.609052248012172726e-01 5.738153762633776411e-01
1.600000000000000089e+00 6.873635379784152066e-01 1.178331260780287049e-01 6.609052248012172726e-01 5.738153762633776411e-01
1.700000000000000178e+00 6.998509065234856941e-01 1.205463460455693941e-01 6.699928672295556442e-01 5.785641251711883815e-01
1.800000000000000044e+00 6.998509065234856941e-01 1.205463460455693941e-01 6.699928672295556442e-01 5.785641251711883815e-01
1.900000000000000133e+00 7.124868482639514777e-01 1.233570241509531762e-01 6.794576495237590885e-01 5.824439527307752051e-01
2.000000000000000000e+00 7.124868482639514777e-01 1.233570241509531762e-01 6.794576495237590885e-01 5.824439527307752051e-01
2.100000000000000089e+00 7.252057830909163227e-01 1.262619186385575409e-01 6.893121011221771122e-01 5.855002917067172463e-01
2.200000000000000178e+00 7.252057830909163227e-01 1.262619186385575409e-01 6.893121011221771122e-01 5.855002917067172463e-01
2.300000000000000266e+00 7.379399287873095181e-01 1.292577052702553186e-01 6.995676981633982550e-01 5.877817274345060738e-01
2.400000000000000355e+00 7.379399287873095181e-01 1.292577052702553186e-01 6.995676981633982550e-01 5.877817274345060738e-01
2.500000000000000000e+00 7.506194693064018875e-01 1.323409931151809660e-01 7.102347500560408644e-01 5.893399563770705951e-01
2.600000000000000089e+00 7.506194693064018875e-01 1.323409931151809660e-01 7.102347500560408644e-01 5.893399563770705951e-01
2.700000000000000178e+00 7.631728219836512173e-01 1.355083485038310331e-01 7.213222767984475148e-01 5.902296509804088043e-01
