# Time P1 P2 Z PO4
0.000000000000000000e+00 5.999999999999999778e-01 1.000000000000000056e-01 5.999999999999999778e-01 5.000000000000000000e-01
1.000000000000000056e-01 6.091755789473684013e-01 9.785497744360903416e-02 6.090018947368421864e-01 4.837319699248120997e-01
2.000000000000000111e-01 6.091755789473684013e-01 9.785497744360903416e-02 6.090018947368421864e-01 4.837319699248120997e-01
3.000000000000000444e-01 6.172635703972741972e-01 9.559256967124776794e-02 6.182590061140658122e-01 4.682019697289224736e-01
4.000000000000000222e-01 6.172635703972741972e-01 9.559256967124776794e-02 6.182590061140658122e-01 4.682019697289224736e-01
5.000000000000000000e-01 6.242215260294772250e-01 9.322434634373791273e-02 6.277508368958457652e-01 4.534596818970136334e-01
6.000000000000000888e-01 6.242215260294772250e-01 9.322434634373791273e-02 6.277508368958457652e-01 4.534596818970136334e-01
7.000000000000000666e-01 6.300189354745378001e-01 9.076256554186509784e-02 6.374549856970270767e-01 4.395447166115501458e-01
8.000000000000000444e-01 6.300189354745378001e-01 9.076256554186509784e-02 6.374549856970270767e-01 4.395447166115501458e-01
9.000000000000000222e-01 6.346375288410279758e-01 8.821997301654761758e-02 6.473472775626024633e-01 4.264863970140708171e-01
1.000000000000000000e+00 6.346375288410279758e-01 8.821997301654761758e-02 6.473472775626024633e-01 4.264863970140708171e-01
1.100000000000000089e+00 6.380712465954450074e-01 8.560959965836947849e-02 6.574019227864202897e-01 4.143038446475274528e-01
1.200000000000000178e+00 6.380712465954450074e-01 8.560959965836947849e-02 6.574019227864202897e-01 4.143038446475274528e-01
1.300000000000000044e+00 6.403258927885230323e-01 8.294456389324797452e-02 6.675917007482877752e-01 4.030063456114826304e-01
1.400000000000000133e+00 6.403258927885230323e-01 8.294456389324797452e-02 6.675917007482877752e-01 4.030063456114826304e-01
1.500000000000000000e+00 6.414185037404033229e-01 8.023788499516298911e-02 6.778881648933098303e-01 3.925939633473198853e-01
1.600000000000000089e+00 6.414185037404033229e-01 8.023788499516298911e-02 6.778881648933098303e-01 3.925939633473198853e-01
1.700000000000000178e+00 6.413764770128200787e-01 7.750231228367199243e-02 6.882618645333004048e-01 3.830583528291360840e-01
1.800000000000000044e+00 6.413764770128200787e-01 7.750231228367199243e-02 6.882618645333004048e-01 3.830583528291360840e-01
1.900000000000000133e+00 6.402365139127527138e-01 7.475017395482674853e-02 6.986825789252880670e-01 3.743837240415331391e-01
2.000000000000000000e+00 6.402365139127527138e-01 7.475017395482674853e-02 6.986825789252880670e-01 3.743837240415331391e-01
2.100000000000000089e+00 6.380434325645245597e-01 7.199324799806680608e-02 7.091195590639846058e-01 3.665479001963518613e-01
2.200000000000000178e+00 6.380434325645245597e-01 7.199324799806680608e-02 7.091195590639846058e-01 3.665479001963518613e-01
2.300000000000000266e+00 6.348489079876974417e-01 6.924265638980625637e-02 7.195417727845029310e-01 3.595234178662169433e-01
2.400000000000000355e+00 6.348489079876974417e-01 6.924265638980625637e-02 7.195417727845029310e-01 3.595234178662169433e-01
2.500000000000000000e+00 6.307101913096072598e-01 6.650878261783210732e-02 7.299181490687588481e-01 3.532786213645504048e-01
2.600000000000000089e+00 6.307101913096072598e-01 6.650878261783210732e-02 7.299181490687588481e-01 3.532786213645504048e-01
2.700000000000000178e+00 6.256888531984379220e-01 6.380121164292150426e-02 7.402178178397053054e-01 3.477787112921073565e-01
2.800000000000000266e+00 6.256888531984379220e-01 6.380121164292150426e-02 7.402178178397053054e-01 3.477787112921073565e-01
2.900000000000000355e+00 6.198495879129906072e-01 6.112869067919134147e-02 7.504103419693380905e-01 3.429867161265252040e-01
3.000000000000000000e+00 6.198495879129906072e-01 6.112869067919134147e-02 7.504103419693380905e-01 3.429867161265252040e-01
3.100000000000000089e+00 6.132591050696355461e-01 5.849910867910960294e-02 7.604659386830198153e-01 3.388643650484510217e-01
3.200000000000000178e+00 6.132591050696355461e-01 5.849910867910960294e-02 7.604659386830198153e-01 3.388643650484510217e-01
3.300000000000000266e+00 6.059851272012699575e-01 5.591949212728386520e-02 7.703556879868070917e-01 3.353728490466241774e-01
3.400000000000000355e+00 6.059851272012699575e-01 5.591949212728386520e-02 7.703556879868070917e-01 3.353728490466241774e-01
3.500000000000000000e+00 5.980955030723346111e-01 5.339601464849760837e-02 7.800517261586954465e-01 3.324734651305787936e-01
3.600000000000000089e+00 5.980955030723346111e-01 5.339601464849760837e-02 7.800517261586954465e-01 3.324734651305787936e-01
3.700000000000000178e+00 5.896574399149554502e-01 5.093401798140290843e-02 7.895274227206948714e-01 3.301281448542882635e-01
3.800000000000000266e+00 5.896574399149554502e-01 5.093401798140290843e-02 7.895274227206948714e-01 3.301281448542882635e-01
3.900000000000000355e+00 5.807368524344279637e-01 4.853804201934996954e-02 7.987575396454703602e-01 3.282998731876630161e-01
4.000000000000000000e+00 5.807368524344279637e-01 4.853804201934996954e-02 7.987575396454703602e-01 3.282998731876630161e-01
4.100000000000000533e+00 5.713978225863098892e-01 4.621186183631603717e-02 8.077183718530608347e-01 3.269530071086289569e-01
4.200000000000000178e+00 5.713978225863098892e-01 4.621186183631603717e-02 8.077183718530608347e-01 3.269530071086289569e-01
4.299999999999999822e+00 5.617021616140843721e-01 4.395852986667768414e-02 8.163878683267834502e-01 3.260535052879122708e-01
4.400000000000000355e+00 5.617021616140843721e-01 4.395852986667768414e-02 8.163878683267834502e-01 3.260535052879122708e-01
4.500000000000000000e+00 5.517090644434933244e-01 4.178042166751066294e-02 8.247457334304356680e-01 3.255690811289922992e-01
4.600000000000000533e+00 5.517090644434933244e-01 4.178042166751066294e-02 8.247457334304356680e-01 3.255690811289922992e-01
4.700000000000000178e+00 5.414748460157835508e-01 3.967928394317630364e-02 8.327735082480466344e-01 3.254692914574077167e-01
4.800000000000000711e+00 5.414748460157835508e-01 3.967928394317630364e-02 8.327735082480466344e-01 3.254692914574077167e-01
4.900000000000000355e+00 5.310527492696872631e-01 3.765628374259894634e-02 8.404546319976421431e-01 3.257255725689230941e-01
5.000000000000000000e+00 5.310527492696872631e-01 3.765628374259894634e-02 8.404546319976421431e-01 3.257255725689230941e-01
5.100000000000000533e+00 5.204928150387359009e-01 3.571205794363691011e-02 8.477744837944076739e-01 3.263112343593121412e-01
