# Time P1 P2 Z PO4
0.000000000000000000e+00 5.999999999999999778e-01 1.000000000000000056e-01 5.999999999999999778e-01 5.000000000000000000e-01
1.000000000000000056e-01 6.337439999999999740e-01 1.019497142857142963e-01 5.918039999999999967e-01 4.757062857142858037e-01
2.000000000000000111e-01 6.337439999999999740e-01 1.019497142857142963e-01 5.918039999999999967e-01 4.757062857142858037e-01
3.000000000000000444e-01 6.680036030302787253e-01 1.037685719273959833e-01 5.837495449560624605e-01 4.510032370423253667e-01
4.000000000000000222e-01 6.680036030302787253e-01 1.037685719273959833e-01 5.837495449560624605e-01 4.510032370423253667e-01
5.000000000000000000e-01 7.025837985751858250e-01 1.054426184295012003e-01 5.758333919659597289e-01 4.261002436301811747e-01
6.000000000000000888e-01 7.025837985751858250e-01 1.054426184295012003e-01 5.758333919659597289e-01 4.261002436301811747e-01
7.000000000000000666e-01 7.372738433058922958e-01 1.069594639996065688e-01 5.680523950649516429e-01 4.012208535052672609e-01
8.000000000000000444e-01 7.372738433058922958e-01 1.069594639996065688e-01 5.680523950649516429e-01 4.012208535052672609e-01
9.000000000000000222e-01 7.718525871452677212e-01 1.083087174935039032e-01 5.604035016207140618e-01 3.765970133571893697e-01
1.000000000000000000e+00 7.718525871452677212e-01 1.083087174935039032e-01 5.604035016207140618e-01 3.765970133571893697e-01
1.100000000000000089e+00 8.060950768858594628e-01 1.094823763130220728e-01 5.528837488882715201e-01 3.524620753019416242e-01
1.200000000000000178e+00 8.060950768858594628e-01 1.094823763130220728e-01 5.528837488882715201e-01 3.524620753019416242e-01
1.300000000000000044e+00 8.397801527162648272e-01 1.104751411753790574e-01 5.454902607167019246e-01 3.290428858558440695e-01
1.400000000000000133e+00 8.397801527162648272e-01 1.104751411753790574e-01 5.454902607167019246e-01 3.290428858558440695e-01
1.500000000000000000e+00 8.726985820304931085e-01 1.112846264547369540e-01 5.382202443998606034e-01 3.065514420444079846e-01
1.600000000000000089e+00 8.726985820304931085e-01 1.112846264547369540e-01 5.382202443998606034e-01 3.065514420444079846e-01
1.700000000000000178e+00 9.046611285747709896e-01 1.119114425943670554e-01 5.310709876638227689e-01 2.851767400936995323e-01
